dba,boro,cuisine_group,has_critical,has_pest,n_violations,score,grade,pass
SWEET TREATS PASTRY SHOPPE,Queens,Other,No,No,1,2,A,Pass
BLVD BISTRO,Manhattan,Other,Yes,No,2,25,B,Fail
JONES STREET WINE BAR,Manhattan,American,No,No,1,7,A,Pass
PRIMAVERA PIZZERIA,Bronx,Italian/Pizza,Yes,No,1,13,A,Pass
TECOLOTE,Queens,Latin,Yes,Yes,1,23,B,Fail
CHIP CITY,Brooklyn,Other,No,No,1,9,A,Pass
KFC,Brooklyn,American,No,No,1,11,A,Pass
SWEETGREEN,Manhattan,Other,Yes,Yes,1,10,A,Pass
LES VAGABONDS,Manhattan,European,No,No,1,11,A,Pass
CHERYL'S GLOBAL SOUL,Brooklyn,American,No,No,1,12,A,Pass
FOUNDRY KITCHEN & BAR,Manhattan,American,Yes,Yes,3,49,C,Fail
CRUMBL COOKIES,Staten Island,Other,No,Yes,1,21,B,Fail
HANA ASIAN BISTRO,Queens,Asian,No,Yes,1,27,B,Fail
BK PIZZA,Brooklyn,Italian/Pizza,No,No,2,13,A,Pass
MOMO ASHI,Queens,Other,Yes,Yes,1,11,A,Pass
WILLIAMSBURG CINEMAS,Brooklyn,American,No,Yes,1,13,A,Pass
NUTRICION FAMILIAR,Queens,Other,Yes,Yes,4,39,C,Fail
POLANCO,Manhattan,Other,Yes,Yes,2,21,B,Fail
CUENCA COFFEE SHOP RESTAURANT,Queens,American,Yes,Yes,3,25,B,Fail
FAT RABBIT,Brooklyn,American,Yes,Yes,1,12,A,Pass
787 COFFEE,Manhattan,Other,No,No,1,13,A,Pass
BEANS AND VINES EXPRESS,Manhattan,American,Yes,Yes,1,9,A,Pass
BRASSERIE FOUQUET'S / ELYSEE'S / TITSOU BAR / LE VAUX ROOFTOP,Manhattan,European,No,No,1,13,A,Pass
MADAME BONTE,Manhattan,European,Yes,Yes,1,7,A,Pass
STARBUCKS,Staten Island,Other,Yes,No,1,10,A,Pass
YIN JI CHANG FEN,Manhattan,Asian,No,No,1,33,C,Fail
JERRY'S PIZZA,Bronx,Italian/Pizza,Yes,Yes,2,21,B,Fail
MYRTLE THAI RESTAURANT,Brooklyn,Asian,Yes,Yes,1,24,B,Fail
MCGUINNESS'S SALOON,Queens,Other,Yes,No,1,11,A,Pass
SUBWAY,Queens,American,No,No,1,12,A,Pass
CHANG YU,Brooklyn,Asian,No,No,1,9,A,Pass
TODOSANTOS CAFE & GRILL,Brooklyn,American,No,No,1,10,A,Pass
TALEA BEER,Manhattan,Other,No,No,1,7,A,Pass
J & J RESTAURANT & CUCHIFRITOS,Bronx,American,No,No,1,12,A,Pass
FRIED CHICKEN WITH THE SAUCE,Brooklyn,Latin,Yes,No,2,19,B,Fail
THE LOBSTER CLUB,Manhattan,Asian,Yes,No,1,12,A,Pass
JK & SONS COFFEE SHOP,Manhattan,American,Yes,Yes,3,27,B,Fail
CAFE BLISS & ORGANIC JUICE BAR,Queens,Other,Yes,Yes,1,12,A,Pass
MEDITERRANEO PIZZA,Manhattan,Italian/Pizza,No,Yes,1,7,A,Pass
SARABETH'S,Manhattan,American,No,No,1,7,A,Pass
COURT STREET GROCERS,Manhattan,American,Yes,Yes,2,33,C,Fail
MADAME VO'S,Manhattan,Asian,Yes,Yes,2,16,B,Fail
STARBUCKS #7277,Manhattan,Other,Yes,Yes,1,11,A,Pass
EL MOLINO,Queens,Other,Yes,Yes,1,13,A,Pass
D' ABRUZZO,Manhattan,Other,Yes,Yes,1,10,A,Pass
RIVERCREST,Queens,American,Yes,No,1,12,A,Pass
MCDONALD'S #3081,Manhattan,American,Yes,Yes,1,12,A,Pass
LITTLE BEAVER,Brooklyn,American,Yes,Yes,1,10,A,Pass
MORITZ,Brooklyn,Other,Yes,Yes,1,10,A,Pass
SENZA GLUTEN,Manhattan,Other,Yes,Yes,1,12,A,Pass
EMMY SQUARED PIZZA,Brooklyn,Italian/Pizza,Yes,Yes,3,53,C,Fail
MASALA KING,Manhattan,South Asian,No,No,1,5,C,Fail
GEE'S CARIBBEAN RESTAURANT,Brooklyn,Latin,Yes,Yes,1,12,A,Pass
TURTLES ALL THE WAY DOWN,Brooklyn,American,Yes,Yes,1,9,A,Pass
CHEZ MACOULE RESTAURANT,Brooklyn,Other,Yes,Yes,1,13,A,Pass
HARBOR FITNESS,Brooklyn,Other,No,Yes,1,21,B,Fail
LITTLE PIZZA PARLOR,Brooklyn,Italian/Pizza,Yes,No,1,8,A,Pass
LA BAKER,Queens,Other,Yes,Yes,1,23,B,Fail
BUDDHA BODAI,Manhattan,Other,No,Yes,1,10,A,Pass
MISSION CEVICHE,Manhattan,Other,Yes,No,1,13,A,Pass
MINITALIA PIZZERIA,Queens,Italian/Pizza,Yes,No,1,13,A,Pass
MATCH 65,Manhattan,European,Yes,Yes,2,10,A,Pass
HONG KONG CHINESE RESTAURANT,Manhattan,Asian,No,No,1,4,A,Pass
AMERICANO CAFE,Staten Island,Other,No,No,1,10,A,Pass
THE ROGER'S GARDEN,Brooklyn,Latin,Yes,Yes,1,12,A,Pass
TIPICO DOMINICANO,Queens,American,No,No,1,13,A,Pass
WE JUICING,Queens,Other,Yes,Yes,1,10,A,Pass
LECHONERA & POLLO SABROSO RESTAURANT,Bronx,Latin,Yes,Yes,1,20,B,Fail
BRASSERIE FOUQUET'S / ELYSEE'S / TITSOU BAR / LE VAUX ROOFTOP,Manhattan,European,No,No,1,12,A,Pass
JOE & THE JUICE,Manhattan,Other,Yes,No,1,10,A,Pass
MCDONALD'S,Manhattan,American,No,No,1,3,A,Pass
DELICIAS MEXICANAS,Manhattan,Latin,No,No,1,12,A,Pass
SHAKE SHACK #1525,Manhattan,American,No,No,1,5,A,Pass
D.E. SHAW,Manhattan,American,Yes,Yes,2,27,B,Fail
HELLO VIETPHO,Manhattan,Asian,Yes,No,1,13,A,Pass
J & M BAKERY,Queens,Other,Yes,Yes,1,13,A,Pass
ESSE TACO,Brooklyn,Latin,Yes,No,1,5,A,Pass
LA KUCHARA,Queens,American,Yes,Yes,1,25,B,Fail
LITTLE KIRIN,Manhattan,Asian,No,No,1,9,A,Pass
NUHMA,Queens,American,No,No,1,12,A,Pass
EMPHASIS,Brooklyn,American,Yes,No,1,25,B,Fail
POPEYES,Queens,American,No,Yes,1,9,A,Pass
KATHY'S DUMPLINGS,Brooklyn,Asian,No,Yes,1,22,B,Fail
EL NUEVO BARZOLA,Brooklyn,American,No,No,1,4,A,Pass
HOUSE OF JOY,Manhattan,Asian,No,No,1,11,A,Pass
HOT SPOT GRILL & JERK,Bronx,Latin,No,No,1,13,A,Pass
OLD FASHION CONEY ISLAND FOOD,Brooklyn,American,No,No,1,12,A,Pass
THAI MAX,Bronx,Asian,Yes,No,3,35,C,Fail
STARBUCKS CORPORATION,Staten Island,Other,No,No,1,5,A,Pass
STANDARD CAFE / RCANO EVENTS,Queens,American,No,No,1,11,A,Pass
EMPIRE STEAK HOUSE,Manhattan,American,Yes,Yes,3,27,B,Fail
12 CORAZONES,Queens,American,Yes,Yes,1,9,A,Pass
GREAT WALL,Queens,Asian,Yes,Yes,1,11,A,Pass
ANANDA,Manhattan,South Asian,Yes,Yes,2,19,B,Fail
GRASS ROOTS JUICERY,Brooklyn,Other,Yes,Yes,4,45,C,Fail
SIMO PIZZA,Manhattan,Italian/Pizza,No,No,1,2,A,Pass
PEGASUS BROOKLYN,Brooklyn,American,Yes,Yes,2,10,A,Pass
LA VIENESA,Queens,American,Yes,No,3,28,C,Fail
LUKE'S LOBSTER,Manhattan,Other,No,No,1,4,A,Pass
101 APizza,Queens,Italian/Pizza,Yes,No,1,11,A,Pass
SUMMER,Queens,Asian,No,No,1,14,B,Fail
ANKARA ONE,Brooklyn,European,Yes,Yes,3,62,C,Fail
JUNCTION CAKE BOX,Queens,Other,Yes,Yes,1,11,A,Pass
TACO BELL,Bronx,Latin,Yes,No,1,12,A,Pass
GENAO,Brooklyn,American,Yes,Yes,1,23,B,Fail
LOPEZ FAMILY MARKET,Brooklyn,Latin,No,No,1,2,A,Pass
BOTTINO,Manhattan,Italian/Pizza,No,No,1,11,A,Pass
KIWI LIME,Queens,American,No,Yes,1,10,A,Pass
FREEMANS,Manhattan,American,No,Yes,2,21,B,Fail
JI BEI CHUAN,Manhattan,Asian,No,No,1,27,B,Fail
KAM HUNG KITCHEN,Queens,Asian,No,No,1,10,A,Pass
CITI FIELD NATHAN'S FAMOUS STAND 406,Queens,Other,No,Yes,1,11,A,Pass
YUMMY TACO,Brooklyn,Other,No,No,1,2,A,Pass
MISAKI SUSHI,Staten Island,Asian,No,No,1,11,A,Pass
HAEJANG,Queens,Asian,Yes,No,1,12,A,Pass
SWEETGREEN,Manhattan,Other,No,No,1,6,A,Pass
CLASSIC KOSHER CATERING,Brooklyn,Other,No,No,1,10,A,Pass
5IVE SPICE,Manhattan,Asian,No,No,1,12,A,Pass
SAMS FAMOUS PIZZA,Manhattan,Italian/Pizza,No,No,1,12,A,Pass
TABU,Brooklyn,American,Yes,Yes,2,22,B,Fail
LAS PALMAS RESTAURANT,Manhattan,Latin,No,No,1,10,A,Pass
SUGAR BOY BAKERY II,Bronx,Other,Yes,No,1,22,B,Fail
PRIME TIME,Brooklyn,Other,No,Yes,2,12,A,Pass
FERJE'S NB,Queens,Latin,No,Yes,2,25,B,Fail
FAMOUS FAMIGLIA PIZZERIA,Manhattan,Italian/Pizza,No,No,1,12,A,Pass
FOOTPRINTS CAFE,Brooklyn,Latin,Yes,Yes,1,12,A,Pass
THE GREAT GEORGIANA,Brooklyn,American,Yes,No,1,7,A,Pass
GUACTIME,Brooklyn,Latin,Yes,Yes,5,50,C,Fail
TONG'S CAFE,Queens,Other,Yes,No,1,24,B,Fail
HAFIYA,Brooklyn,Other,No,No,1,10,A,Pass
DUNKIN',Manhattan,Other,No,No,1,9,A,Pass
MAXIN BAKERY,Queens,Other,Yes,No,1,8,A,Pass
BLACK THAI,Queens,Asian,Yes,Yes,1,13,A,Pass
MOLASSES BOOKS,Brooklyn,Other,No,No,1,4,A,Pass
STARBUCKS,Queens,Other,Yes,Yes,1,10,A,Pass
PIZZA CHEF,Bronx,Italian/Pizza,No,No,1,17,B,Fail
DE ISLANDS,Queens,Latin,Yes,No,1,7,A,Pass
SALOME LATIN CUISINE,Bronx,American,Yes,Yes,1,7,A,Pass
CHIPOTLE MEXICAN GRILL,Manhattan,Other,Yes,Yes,1,13,A,Pass
FAN FRIED RICE BAR,Brooklyn,Asian,No,No,1,13,A,Pass
THE PASTRY BOX,Manhattan,Other,Yes,Yes,1,12,A,Pass
COLIMA TAQUERIA,Bronx,Latin,Yes,Yes,3,19,B,Fail
YI MIN RESTAURANT,Brooklyn,Asian,Yes,Yes,1,9,A,Pass
BUTLER,Brooklyn,Other,Yes,Yes,2,53,C,Fail
STANLEY COFFEE SHOP,Brooklyn,Latin,No,No,1,13,A,Pass
LIN'S GARDEN,Bronx,Asian,Yes,No,2,14,B,Fail
"DUNKIN', 'BASKIN ROBBINS",Brooklyn,Other,No,Yes,1,9,A,Pass
MONTE CARLO DINER,Manhattan,American,Yes,Yes,1,11,A,Pass
ORIGIN CAFE & WINE BAR,Queens,Other,Yes,No,2,13,A,Pass
PLANTED,Brooklyn,Other,Yes,Yes,1,13,A,Pass
LLIANA'S BAR LOUNGE,Queens,Other,Yes,No,1,13,A,Pass
LITTLE ROY COFFEE CO.,Brooklyn,Other,Yes,Yes,2,34,C,Fail
LE CAFE COFFEE,Manhattan,Other,Yes,No,1,7,A,Pass
PALERMO PIZZERIA AND RESTAURANT,Staten Island,Italian/Pizza,No,No,1,13,A,Pass
SAN JERONIMO RESTAURANT & BAKERY,Staten Island,Latin,Yes,Yes,1,7,A,Pass
IPPUDO,Manhattan,Asian,Yes,Yes,1,13,A,Pass
ZHUMI BAKERY & RESTAURANT,Queens,Latin,Yes,Yes,1,13,A,Pass
BANTER,Brooklyn,American,No,No,1,10,A,Pass
DUNKIN,Brooklyn,Other,Yes,Yes,2,11,A,Pass
TRES SABORES TAQUERIA,Queens,Latin,No,No,1,18,B,Fail
SUBWAY,Brooklyn,American,No,No,1,11,A,Pass
CAFFE CAFE,Brooklyn,Other,Yes,Yes,1,32,C,Fail
BAGEL ON THE BLVD,Staten Island,Other,Yes,No,1,7,A,Pass
WO HOP NEXT DOOR,Manhattan,Asian,Yes,No,1,12,A,Pass
BRASIER,Manhattan,Latin,Yes,No,2,12,A,Pass
FAMOUS 1 DOLLAR PIZZA,Manhattan,Italian/Pizza,No,No,1,11,A,Pass
WINGSTOP,Queens,American,No,No,1,45,C,Fail
D GIOVANIS BIG PIZZA,Bronx,Italian/Pizza,No,No,2,11,A,Pass
CABRINI 181,Manhattan,American,Yes,No,1,10,A,Pass
OAKBERRY,Manhattan,Other,Yes,Yes,1,12,A,Pass
THE WINSLOW,Manhattan,Other,No,No,1,9,A,Pass
GRUENEBAUM'S BAKERY & CAFE,Bronx,Other,Yes,Yes,2,9,A,Pass
6TH AVE CAFE INC,Brooklyn,Asian,Yes,Yes,1,23,B,Fail
272 UPTOWN PIZZA,Manhattan,Italian/Pizza,Yes,Yes,2,34,C,Fail
MOSAIC,Queens,Other,Yes,Yes,1,9,A,Pass
THE PALMS WEST INDIAN & AMERICAN CUISINE,Bronx,Latin,Yes,Yes,2,50,C,Fail
FLAMING SADDLES SALOON,Manhattan,American,Yes,No,1,5,A,Pass
BB.Q CHICKEN,Brooklyn,American,Yes,Yes,1,13,A,Pass
RINCON LATINO RESTAURANT,Bronx,American,Yes,Yes,2,28,C,Fail
YOKOX OMAKASE,Manhattan,Asian,No,No,1,10,A,Pass
NUHMA,Queens,American,Yes,Yes,3,19,B,Fail
SARAJEVO GRILL,Queens,European,Yes,Yes,1,11,A,Pass
BALZEM,Manhattan,European,No,No,1,13,A,Pass
PANDA GARDEN,Staten Island,Asian,Yes,Yes,1,9,A,Pass
TACOS GLORIA,Queens,Other,No,No,1,11,A,Pass
RANCH RESTAURANT,Bronx,Latin,Yes,No,3,26,B,Fail
CANCUN BAR & RESTAURANT MEXICAN GRILL,Brooklyn,Latin,No,No,1,13,A,Pass
KUNG FU TEA,Queens,Other,Yes,Yes,2,24,B,Fail
SUBWAY,Brooklyn,American,No,No,1,4,A,Pass
MONTAGUE STREET BAGELS,Brooklyn,Other,Yes,No,1,22,B,Fail
VERY JUICE,Brooklyn,Other,No,No,1,12,A,Pass
IHOP,Brooklyn,Other,Yes,No,1,11,A,Pass
DUKE EATERY,Manhattan,American,Yes,Yes,1,12,A,Pass
CHICKEN INSIDER,Manhattan,American,No,No,1,5,A,Pass
PRINCE GRILL & JUICE BAR,Queens,American,Yes,Yes,1,45,C,Fail
AMAMI SUSHI,Brooklyn,Asian,Yes,No,1,5,A,Pass
CONCESSION 105,Bronx,American,No,No,1,7,A,Pass
APRICOT CAFE,Brooklyn,Other,Yes,Yes,2,25,B,Fail
SUBWAY,Staten Island,American,Yes,Yes,2,23,B,Fail
ROCCO'S ITALIAN SAUSAGES & CHEESE STEAKS,Queens,American,Yes,Yes,1,12,A,Pass
WEST NEW MALAYSIA RESTAURANT,Manhattan,Asian,No,Yes,1,12,A,Pass
PAPA JOHN'S,Brooklyn,Italian/Pizza,No,No,1,4,A,Pass
VERY FRESH NOODLES,Manhattan,Asian,Yes,Yes,1,8,A,Pass
GINO'S PIZZERIA,Queens,Italian/Pizza,Yes,Yes,3,39,C,Fail
WING STOP,Brooklyn,American,Yes,Yes,1,17,B,Fail
ADE BAMBOO CHINESE CUISINE,Queens,Other,No,No,1,13,A,Pass
PICANTE PICANTE RESTAURANT,Bronx,Latin,Yes,Yes,1,22,B,Fail
MARIO'S RESTAURANT,Bronx,Italian/Pizza,No,No,1,4,A,Pass
PIZZERIA LAS MARGARITA’S,Bronx,Italian/Pizza,No,No,1,13,A,Pass
THE GROUNDS OF BROOKLYN,Brooklyn,Italian/Pizza,No,No,2,9,A,Pass
CROWN PALACE,Staten Island,Asian,Yes,No,1,12,A,Pass
KUNST COFFEE HAUS,Queens,Other,Yes,No,1,10,A,Pass
BURGER JOINT,Manhattan,American,No,No,1,8,A,Pass
ZHU JI DUMPLING HOUSE,Queens,Asian,Yes,Yes,1,23,B,Fail
DUNKIN,Brooklyn,Other,Yes,No,1,13,A,Pass
SEVILLA,Manhattan,Latin,Yes,Yes,2,12,A,Pass
RICO POLLO II RESTAURANT,Brooklyn,Latin,Yes,No,1,23,B,Fail
MAKE BELIEVE BAKE SHOP,Queens,Other,No,No,1,2,A,Pass
ER HOTPOT,Manhattan,Asian,Yes,Yes,1,19,B,Fail
W & Y BAKERY,Brooklyn,Other,Yes,Yes,1,24,B,Fail
SOMA SALADS,Manhattan,Other,Yes,Yes,2,15,B,Fail
PLANET TACO,Manhattan,Latin,Yes,Yes,3,26,B,Fail
CAFE D'AVIGNON,Manhattan,Other,No,No,1,12,A,Pass
LITTLE CAESARS,Queens,Italian/Pizza,No,No,1,9,A,Pass
SUBWAY,Manhattan,American,No,No,1,5,A,Pass
Bellhop Bar & Restaurant,Manhattan,American,Yes,No,1,9,A,Pass
WOK WOK RESTAURANT,Manhattan,Asian,No,Yes,1,12,A,Pass
ROCKWOOD MUSIC HALL,Manhattan,American,Yes,Yes,1,22,B,Fail
SOPHRA TURKISH RESTAURANT,Manhattan,European,Yes,Yes,2,27,B,Fail
EA DUMPLING,Manhattan,Asian,Yes,Yes,1,9,A,Pass
TEX-MEX EXPRESS,Queens,Asian,No,Yes,1,7,A,Pass
MEI CHUNG MEI RESTAURANT,Bronx,Asian,No,No,1,24,B,Fail
TAQUERIA EMILIO,Manhattan,Latin,Yes,Yes,1,21,B,Fail
M&S NICE RESTAURANT,Queens,American,Yes,Yes,1,18,B,Fail
BURGER KING,Manhattan,American,No,No,1,9,A,Pass
NOW OR NEVER COFFEE,Manhattan,Other,Yes,Yes,1,10,A,Pass
PIZZA PARK,Manhattan,Italian/Pizza,Yes,No,1,12,A,Pass
TRINITY PLACE BAR & RESTAURANT,Manhattan,American,No,No,1,10,A,Pass
VIET SPOT,Manhattan,Asian,No,No,1,3,A,Pass
JKJ 41,Queens,Asian,No,Yes,1,22,B,Fail
PIER 66 MARITIME,Manhattan,American,No,No,1,12,A,Pass
BACK TO JOHN'S DELI,Brooklyn,American,No,No,1,11,A,Pass
EAST MET WEST,Brooklyn,Asian,No,No,1,13,A,Pass
ISLAND GROVE RESTAURANT,Brooklyn,Latin,Yes,Yes,2,30,C,Fail
VIDA,Queens,Other,No,Yes,1,12,A,Pass
TRUE COLORS,Queens,American,Yes,Yes,1,10,A,Pass
HUSH,Queens,American,Yes,Yes,2,26,B,Fail
THE CORNELL CENTER OF NEW YORK,Manhattan,American,No,No,1,11,A,Pass
DUNKIN,Queens,Other,Yes,Yes,1,10,A,Pass
DOMINO'S,Queens,Italian/Pizza,No,Yes,1,11,A,Pass
FRIJOLITO'S RESTAURANT,Manhattan,Latin,Yes,Yes,1,24,B,Fail
MEEM SPICY GROCERY AND DELI,Manhattan,South Asian,Yes,Yes,4,69,C,Fail
DIG INN SEASONAL MARKET,Manhattan,American,No,No,1,12,A,Pass
RH NY GUESTHOUSE,Manhattan,American,No,No,1,13,A,Pass
VINO KITCHEN & BAR,Queens,Italian/Pizza,No,No,1,13,A,Pass
PHO NUMBER 1,Brooklyn,Asian,No,No,1,13,A,Pass
PARADISE SPORTS BAR,Queens,Latin,Yes,Yes,2,25,B,Fail
CHA CHA MATCHA,Manhattan,Other,No,No,1,13,A,Pass
WELCOME TO THE JOHNSONS,Manhattan,American,No,No,1,13,A,Pass
FITRITION,Queens,Other,Yes,Yes,2,45,C,Fail
CAFE BY THE GIRLS,Manhattan,Other,Yes,No,1,10,A,Pass
WOORI KOREAN RESTAURANT,Brooklyn,Asian,No,Yes,1,10,A,Pass
LA NAPA,Brooklyn,Latin,Yes,Yes,4,18,B,Fail
SIENA CAFE,Manhattan,Italian/Pizza,No,No,2,7,A,Pass
YUM YUBU,Manhattan,Asian,No,No,1,9,A,Pass
RYRY'S KITCHEN @ JAMAICA FOOD MARKET,Queens,Latin,Yes,No,1,12,A,Pass
WENDYS,Brooklyn,American,No,No,1,8,A,Pass
6TH AVE CAFE INC,Brooklyn,Asian,Yes,Yes,1,10,A,Pass
LA POTENCIA BAR RESTAURANT,Bronx,Latin,Yes,No,3,23,B,Fail
SUBWAY,Brooklyn,American,No,No,1,5,A,Pass
STARBUCKS,Staten Island,Other,No,No,1,12,A,Pass
TACOS TIME SQUARE,Manhattan,Other,No,Yes,2,17,B,Fail
BOCCA,Manhattan,Italian/Pizza,Yes,No,1,20,B,Fail
POPEYES,Brooklyn,American,No,Yes,1,13,A,Pass
PICCOLI TRATTORIA,Brooklyn,Italian/Pizza,No,No,1,9,A,Pass
CELLINI,Manhattan,Italian/Pizza,No,Yes,1,12,A,Pass
MANGIA,Manhattan,American,Yes,No,1,24,B,Fail
BUSHNIWA,Brooklyn,Asian,No,No,1,25,B,Fail
B.B.'S PUB AND GRILL,Queens,American,Yes,Yes,2,25,B,Fail
KIMCHI GRILL,Brooklyn,Asian,No,Yes,1,12,A,Pass
THE GIBSON,Brooklyn,American,Yes,Yes,3,32,C,Fail
CAFE SUPREMO COLOMBIAN BAKERY,Brooklyn,American,No,No,1,13,A,Pass
TABARE,Brooklyn,American,Yes,No,1,12,A,Pass
PAPA JOHN'S,Queens,Italian/Pizza,Yes,Yes,2,11,A,Pass
GREAT WALL RESTAURANT,Queens,Asian,Yes,No,1,13,A,Pass
PAZZA NOTTE,Manhattan,Italian/Pizza,No,No,1,11,A,Pass
ELITE PASTRIES CAFE,Queens,Other,No,No,1,7,A,Pass
LAGHMAN EXPRESS,Brooklyn,Asian,Yes,Yes,2,26,B,Fail
SUBWAY,Manhattan,American,Yes,Yes,1,11,A,Pass
LIFE TIME,Manhattan,Other,Yes,Yes,2,26,B,Fail
JADE GARDEN,Bronx,Asian,Yes,Yes,1,13,A,Pass
GHOROA,Brooklyn,South Asian,No,No,1,26,B,Fail
RICHMOND COUNTY COUNTRY CLUB,Staten Island,American,No,No,1,11,A,Pass
NAI BROTHER,Brooklyn,Asian,No,No,1,10,A,Pass
IL POETA,Queens,Italian/Pizza,Yes,No,1,10,A,Pass
DANTE WEST VILLAGE,Manhattan,Italian/Pizza,Yes,No,1,26,B,Fail
LODI,Manhattan,Italian/Pizza,Yes,No,1,12,A,Pass
NEW CHINA CHINESE RESTAURANT,Bronx,Asian,Yes,Yes,1,9,A,Pass
FUSHIMI JAPANESE CUISINE,Staten Island,Asian,Yes,Yes,2,51,C,Fail
LAS CHATAS TAQUERIA & DELI GROCERY,Bronx,Latin,No,No,1,11,A,Pass
BODEGA 88,Manhattan,American,No,Yes,1,4,A,Pass
BUSHWICK BURGER CO.,Brooklyn,American,Yes,Yes,1,12,A,Pass
BEBE FRITAY,Brooklyn,Other,Yes,Yes,1,11,A,Pass
ISLAND RIB HOUSE,Brooklyn,Other,No,No,1,7,A,Pass
HENRY STREET ALE HOUSE,Brooklyn,American,No,Yes,2,26,B,Fail
DUNKIN DONUTS,Brooklyn,Other,Yes,Yes,2,30,C,Fail
AMY RUTH’S DOWNTOWN,Manhattan,Other,No,No,1,9,A,Pass
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,Latin,Yes,Yes,3,53,C,Fail
FISH & CHIPS,Brooklyn,American,No,No,1,7,A,Pass
GREGORYS COFFEE,Manhattan,Other,No,Yes,1,21,B,Fail
8282,Manhattan,Asian,Yes,No,2,13,A,Pass
MAMAN,Manhattan,European,Yes,Yes,2,14,B,Fail
MCDONALD'S,Manhattan,American,No,No,1,12,A,Pass
KENNEDY FRIED CHICKEN,Bronx,American,Yes,Yes,2,18,B,Fail
SARABETH'S,Manhattan,American,Yes,Yes,1,15,B,Fail
ZAAD,Manhattan,European,Yes,No,1,14,B,Fail
CHINA RIVER,Manhattan,Asian,No,No,1,26,B,Fail
MIKE'S DONUTS,Brooklyn,Other,Yes,Yes,1,12,A,Pass
KOMEME AHORA,Bronx,American,No,No,1,13,A,Pass
DOMY PIZZA,Bronx,Italian/Pizza,Yes,Yes,2,21,B,Fail
DRIP SWEAT,Manhattan,Other,No,No,1,7,A,Pass
BONJOUR CREPES & WINE,Manhattan,American,No,Yes,1,24,B,Fail
XUN YU SI KAO NY,Brooklyn,Asian,Yes,Yes,4,55,C,Fail
JAVA GIRL,Manhattan,Other,No,Yes,1,11,A,Pass
BRAIN FOOD THE SMART KITCHEN,Brooklyn,American,Yes,Yes,3,40,C,Fail
KARIZMA LOUNGE,Manhattan,Other,Yes,Yes,1,12,A,Pass
COOKLYN EATS,Brooklyn,Other,No,No,1,12,A,Pass
786 PERI PERI GRILL,Queens,American,Yes,Yes,1,17,B,Fail
POPEYES,Queens,American,Yes,No,1,13,A,Pass
GOOD TASTE CHINESE RESTAURANT,Manhattan,Asian,Yes,Yes,2,13,A,Pass
BKLYN EATS,Brooklyn,American,Yes,No,1,12,A,Pass
CAVA,Brooklyn,European,No,No,1,11,A,Pass
M SOCIAL NEW YORK DOWNTOWN,Manhattan,American,No,Yes,1,10,A,Pass
THE CENTURION LOUNGE,Queens,American,Yes,Yes,1,12,A,Pass
TROPICAL JADE 1,Queens,Latin,Yes,Yes,5,70,C,Fail
SAO MAI,Manhattan,Asian,No,No,2,13,A,Pass
GRACIE MEWS,Manhattan,American,Yes,No,1,10,A,Pass
MASTERCARD,Manhattan,Other,No,No,1,7,A,Pass
TAP BEER,Brooklyn,Other,Yes,Yes,1,12,A,Pass
PATA PA-PLEAN,Queens,Asian,Yes,Yes,1,11,A,Pass
JUMBO HAMBURGER PLACE,Manhattan,American,Yes,Yes,2,32,C,Fail
DAMASCUS SWEETS,Bronx,Other,Yes,Yes,2,27,B,Fail
SUNDAY IN BROOKLYN,Brooklyn,American,Yes,Yes,1,11,A,Pass
PRING,Manhattan,Asian,Yes,Yes,2,18,B,Fail
QINGDAO,Queens,Asian,Yes,No,1,26,B,Fail
RESTAURANTE Y ANTOJITOS GUATELINDA,Queens,Latin,Yes,Yes,1,20,B,Fail
SHAKE SHACK,Brooklyn,American,No,Yes,1,9,A,Pass
ANAIAH,Brooklyn,American,No,No,1,8,A,Pass
CROWN FRIED CHICKEN,Queens,American,Yes,Yes,2,13,A,Pass
CHINA EXPRESS,Brooklyn,Asian,Yes,Yes,1,21,B,Fail
THE BIRRIA ON THE BLOCK,Queens,Latin,No,No,1,9,A,Pass
CLIPPER COFFEE,Bronx,Other,Yes,No,1,8,A,Pass
SWEET BASIL,Brooklyn,Asian,Yes,No,1,13,A,Pass
ORBITALS KITCHEN 9ROOM 109-106),Bronx,Other,No,No,1,11,A,Pass
SWEET SCENE ASTORIA,Queens,Other,Yes,No,1,13,A,Pass
MITO ASIAN FUSION,Queens,Asian,Yes,Yes,2,19,B,Fail
DUNKIN,Bronx,Other,No,No,1,5,A,Pass
MOMO SUSHI,Manhattan,Asian,Yes,No,1,16,B,Fail
CHIPOTLE MEXICAN GRILL,Manhattan,Other,No,Yes,1,13,A,Pass
VANILLA GORILLA CAFE,Manhattan,Other,Yes,No,1,13,A,Pass
RASPBERRY DELI & GROCERY,Manhattan,American,No,No,1,7,A,Pass
MIKE'S PIZZA & RESTAURANT,Brooklyn,Italian/Pizza,No,No,1,9,A,Pass
JOE'S OF AVE U,Brooklyn,Italian/Pizza,Yes,Yes,2,19,B,Fail
5 STAR PIZZA,Bronx,Italian/Pizza,Yes,Yes,3,21,B,Fail
DUNKIN,Queens,American,Yes,Yes,1,7,A,Pass
CHINA HOUSE,Queens,Asian,Yes,No,1,11,A,Pass
NEW YEE LI RESTAURANT,Brooklyn,Asian,Yes,Yes,1,17,B,Fail
